,home_team_id,away_team_id,home_team,away_team,play_id,game_id,event,event_id,event_type_id,description,time_stamp,period,period_time,period_time_remaining,goals_home,goals_away,team_id,team_name,team_abrv
0,6,14,Boston Bruins,Tampa Bay Lightning,20220211511,2022021151,Game Scheduled,1,GAME_SCHEDULED,Game Scheduled,2023-03-25T16:07:39Z,1,00:00,20:00,0,0,,,
1,6,14,Boston Bruins,Tampa Bay Lightning,20220211515,2022021151,Period Ready,5,PERIOD_READY,Period Ready,2023-03-25T17:06:08Z,1,00:00,20:00,0,0,,,
2,6,14,Boston Bruins,Tampa Bay Lightning,202202115151,2022021151,Period Start,51,PERIOD_START,Period Start,2023-03-25T17:08:58Z,1,00:00,20:00,0,0,,,
3,6,14,Boston Bruins,Tampa Bay Lightning,202202115152,2022021151,Faceoff,52,FACEOFF,Nicholas Paul faceoff won against Tomas Nosek,2023-03-25T17:08:58Z,1,00:00,20:00,0,0,14.0,Tampa Bay Lightning,TBL
4,6,14,Boston Bruins,Tampa Bay Lightning,20220211518,2022021151,Penalty,8,PENALTY,Garnet Hathaway Fighting against Pat Maroon,2023-03-25T17:09:07Z,1,00:09,19:51,0,0,6.0,Boston Bruins,BOS
5,6,14,Boston Bruins,Tampa Bay Lightning,202202115111,2022021151,Penalty,11,PENALTY,Pat Maroon Fighting against Garnet Hathaway,2023-03-25T17:09:07Z,1,00:09,19:51,0,0,14.0,Tampa Bay Lightning,TBL
6,6,14,Boston Bruins,Tampa Bay Lightning,202202115114,2022021151,Penalty,14,PENALTY,Ross Colton Roughing against Jakub Lauko served by Corey Perry,2023-03-25T17:09:07Z,1,00:09,19:51,0,0,14.0,Tampa Bay Lightning,TBL
7,6,14,Boston Bruins,Tampa Bay Lightning,2022021151104,2022021151,Penalty,104,PENALTY,Ross Colton Roughing against Jakub Lauko,2023-03-25T17:09:07Z,1,00:09,19:51,0,0,14.0,Tampa Bay Lightning,TBL
8,6,14,Boston Bruins,Tampa Bay Lightning,2022021151108,2022021151,Penalty,108,PENALTY,Jakub Lauko Roughing against Ross Colton,2023-03-25T17:09:07Z,1,00:09,19:51,0,0,6.0,Boston Bruins,BOS
9,6,14,Boston Bruins,Tampa Bay Lightning,202202115153,2022021151,Faceoff,53,FACEOFF,Patrice Bergeron faceoff won against Anthony Cirelli,2023-03-25T17:11:46Z,1,00:09,19:51,0,0,6.0,Boston Bruins,BOS
10,6,14,Boston Bruins,Tampa Bay Lightning,2022021151151,2022021151,Shot,151,SHOT,Hampus Lindholm Wrist Shot saved by Andrei Vasilevskiy,2023-03-25T17:12:10Z,1,00:33,19:27,0,0,6.0,Boston Bruins,BOS
11,6,14,Boston Bruins,Tampa Bay Lightning,202202115154,2022021151,Giveaway,54,GIVEAWAY,Giveaway by Brad Marchand,2023-03-25T17:12:15Z,1,00:38,19:22,0,0,6.0,Boston Bruins,BOS
12,6,14,Boston Bruins,Tampa Bay Lightning,2022021151152,2022021151,Hit,152,HIT,Alex Killorn hit Brad Marchand,2023-03-25T17:12:28Z,1,00:51,19:09,0,0,14.0,Tampa Bay Lightning,TBL
13,6,14,Boston Bruins,Tampa Bay Lightning,2022021151153,2022021151,Hit,153,HIT,Dmitry Orlov hit Brandon Hagel,2023-03-25T17:13:17Z,1,01:40,18:20,0,0,6.0,Boston Bruins,BOS
14,6,14,Boston Bruins,Tampa Bay Lightning,2022021151154,2022021151,Shot,154,SHOT,Erik Cernak Wrist Shot saved by Linus Ullmark,2023-03-25T17:13:34Z,1,01:57,18:03,0,0,14.0,Tampa Bay Lightning,TBL
15,6,14,Boston Bruins,Tampa Bay Lightning,2022021151155,2022021151,Hit,155,HIT,Darren Raddysh hit Tomas Nosek,2023-03-25T17:14:01Z,1,02:24,17:36,0,0,14.0,Tampa Bay Lightning,TBL
16,6,14,Boston Bruins,Tampa Bay Lightning,202202115118,2022021151,Hit,18,HIT,Tomas Nosek hit Darren Raddysh,2023-03-25T17:14:09Z,1,02:32,17:28,0,0,6.0,Boston Bruins,BOS
17,6,14,Boston Bruins,Tampa Bay Lightning,202202115119,2022021151,Hit,19,HIT,Tanner Jeannot hit Connor Clifton,2023-03-25T17:14:53Z,1,03:16,16:44,0,0,14.0,Tampa Bay Lightning,TBL
18,6,14,Boston Bruins,Tampa Bay Lightning,2022021151147,2022021151,Penalty,147,PENALTY,Tanner Jeannot Interference against Connor Clifton,2023-03-25T17:14:56Z,1,03:19,16:41,0,0,14.0,Tampa Bay Lightning,TBL
19,6,14,Boston Bruins,Tampa Bay Lightning,202202115155,2022021151,Faceoff,55,FACEOFF,Patrice Bergeron faceoff won against Anthony Cirelli,2023-03-25T17:16:02Z,1,03:19,16:41,0,0,6.0,Boston Bruins,BOS
20,6,14,Boston Bruins,Tampa Bay Lightning,2022021151156,2022021151,Shot,156,SHOT,David Pastrnak Snap Shot saved by Andrei Vasilevskiy,2023-03-25T17:16:06Z,1,03:23,16:37,0,0,6.0,Boston Bruins,BOS
21,6,14,Boston Bruins,Tampa Bay Lightning,202202115156,2022021151,Giveaway,56,GIVEAWAY,Giveaway by Brad Marchand,2023-03-25T17:16:23Z,1,03:40,16:20,0,0,6.0,Boston Bruins,BOS
22,6,14,Boston Bruins,Tampa Bay Lightning,2022021151157,2022021151,Blocked Shot,157,BLOCKED_SHOT,David Pastrnak shot blocked shot by Erik Cernak,2023-03-25T17:16:41Z,1,03:58,16:02,0,0,14.0,Tampa Bay Lightning,TBL
23,6,14,Boston Bruins,Tampa Bay Lightning,2022021151158,2022021151,Blocked Shot,158,BLOCKED_SHOT,David Pastrnak shot blocked shot by Brandon Hagel,2023-03-25T17:16:53Z,1,04:10,15:50,0,0,14.0,Tampa Bay Lightning,TBL
24,6,14,Boston Bruins,Tampa Bay Lightning,2022021151159,2022021151,Hit,159,HIT,David Pastrnak hit Brandon Hagel,2023-03-25T17:16:59Z,1,04:16,15:44,0,0,6.0,Boston Bruins,BOS
25,6,14,Boston Bruins,Tampa Bay Lightning,2022021151160,2022021151,Missed Shot,160,MISSED_SHOT,Brad Marchand Wide of Net Andrei Vasilevskiy,2023-03-25T17:17:20Z,1,04:37,15:23,0,0,6.0,Boston Bruins,BOS
26,6,14,Boston Bruins,Tampa Bay Lightning,2022021151162,2022021151,Blocked Shot,162,BLOCKED_SHOT,David Krejci shot blocked shot by Mikhail Sergachev,2023-03-25T17:17:26Z,1,04:43,15:17,0,0,14.0,Tampa Bay Lightning,TBL
27,6,14,Boston Bruins,Tampa Bay Lightning,2022021151302,2022021151,Shot,302,SHOT,Hampus Lindholm Wrist Shot saved by Andrei Vasilevskiy,2023-03-25T17:17:30Z,1,04:47,15:13,0,0,6.0,Boston Bruins,BOS
28,6,14,Boston Bruins,Tampa Bay Lightning,202202115120,2022021151,Hit,20,HIT,Mikhail Sergachev hit David Pastrnak,2023-03-25T17:17:36Z,1,04:53,15:07,0,0,14.0,Tampa Bay Lightning,TBL
29,6,14,Boston Bruins,Tampa Bay Lightning,2022021151163,2022021151,Shot,163,SHOT,Victor Hedman Wrist Shot saved by Linus Ullmark,2023-03-25T17:17:38Z,1,04:55,15:05,0,0,14.0,Tampa Bay Lightning,TBL
30,6,14,Boston Bruins,Tampa Bay Lightning,2022021151164,2022021151,Hit,164,HIT,Nick Perbix hit David Krejci,2023-03-25T17:17:59Z,1,05:16,14:44,0,0,14.0,Tampa Bay Lightning,TBL
31,6,14,Boston Bruins,Tampa Bay Lightning,202202115121,2022021151,Stoppage,21,STOP,Puck in Netting,2023-03-25T17:18:09Z,1,05:26,14:34,0,0,,,
32,6,14,Boston Bruins,Tampa Bay Lightning,202202115157,2022021151,Faceoff,57,FACEOFF,Charlie Coyle faceoff won against Brayden Point,2023-03-25T17:18:54Z,1,05:26,14:34,0,0,6.0,Boston Bruins,BOS
33,6,14,Boston Bruins,Tampa Bay Lightning,202202115122,2022021151,Penalty,22,PENALTY,Pat Maroon Unsportsmanlike conduct,2023-03-25T17:19:01Z,1,05:33,14:27,0,0,14.0,Tampa Bay Lightning,TBL
34,6,14,Boston Bruins,Tampa Bay Lightning,202202115158,2022021151,Faceoff,58,FACEOFF,Patrice Bergeron faceoff won against Anthony Cirelli,2023-03-25T17:19:54Z,1,05:33,14:27,0,0,6.0,Boston Bruins,BOS
35,6,14,Boston Bruins,Tampa Bay Lightning,2022021151166,2022021151,Shot,166,SHOT,Patrice Bergeron Wrist Shot saved by Andrei Vasilevskiy,2023-03-25T17:20:04Z,1,05:43,14:17,0,0,6.0,Boston Bruins,BOS
36,6,14,Boston Bruins,Tampa Bay Lightning,2022021151167,2022021151,Shot,167,SHOT,Jake DeBrusk Wrist Shot saved by Andrei Vasilevskiy,2023-03-25T17:20:14Z,1,05:53,14:07,0,0,6.0,Boston Bruins,BOS
37,6,14,Boston Bruins,Tampa Bay Lightning,202202115125,2022021151,Stoppage,25,STOP,Puck in Crowd,2023-03-25T17:20:20Z,1,05:58,14:02,0,0,,,
38,6,14,Boston Bruins,Tampa Bay Lightning,202202115159,2022021151,Faceoff,59,FACEOFF,Patrice Bergeron faceoff won against Pierre-Edouard Bellemare,2023-03-25T17:21:05Z,1,05:58,14:02,0,0,6.0,Boston Bruins,BOS
39,6,14,Boston Bruins,Tampa Bay Lightning,202202115126,2022021151,Hit,26,HIT,Jake DeBrusk hit Erik Cernak,2023-03-25T17:21:17Z,1,06:10,13:50,0,0,6.0,Boston Bruins,BOS
40,6,14,Boston Bruins,Tampa Bay Lightning,2022021151168,2022021151,Shot,168,SHOT,Brad Marchand Wrist Shot saved by Andrei Vasilevskiy,2023-03-25T17:21:35Z,1,06:28,13:32,0,0,6.0,Boston Bruins,BOS
41,6,14,Boston Bruins,Tampa Bay Lightning,2022021151169,2022021151,Goal,169,GOAL,"Patrice Bergeron (27) Tip-In, assists: Brad Marchand (43), Hampus Lindholm (39)",2023-03-25T17:21:53Z,1,06:46,13:14,1,0,6.0,Boston Bruins,BOS
42,6,14,Boston Bruins,Tampa Bay Lightning,202202115160,2022021151,Faceoff,60,FACEOFF,Brayden Point faceoff won against Charlie Coyle,2023-03-25T17:22:52Z,1,06:46,13:14,1,0,14.0,Tampa Bay Lightning,TBL
43,6,14,Boston Bruins,Tampa Bay Lightning,202202115127,2022021151,Hit,27,HIT,Nikita Kucherov hit Charlie McAvoy,2023-03-25T17:23:20Z,1,07:14,12:46,1,0,14.0,Tampa Bay Lightning,TBL
44,6,14,Boston Bruins,Tampa Bay Lightning,202202115128,2022021151,Hit,28,HIT,Brandon Hagel hit Matt Grzelcyk,2023-03-25T17:23:26Z,1,07:20,12:40,1,0,14.0,Tampa Bay Lightning,TBL
45,6,14,Boston Bruins,Tampa Bay Lightning,202202115129,2022021151,Hit,29,HIT,Darren Raddysh hit Trent Frederic,2023-03-25T17:23:31Z,1,07:25,12:35,1,0,14.0,Tampa Bay Lightning,TBL
46,6,14,Boston Bruins,Tampa Bay Lightning,202202115130,2022021151,Hit,30,HIT,Dmitry Orlov hit Nick Perbix,2023-03-25T17:23:54Z,1,07:48,12:12,1,0,6.0,Boston Bruins,BOS
47,6,14,Boston Bruins,Tampa Bay Lightning,202202115131,2022021151,Hit,31,HIT,Dmitry Orlov hit Tanner Jeannot,2023-03-25T17:24:08Z,1,08:02,11:58,1,0,6.0,Boston Bruins,BOS
48,6,14,Boston Bruins,Tampa Bay Lightning,202202115133,2022021151,Penalty,33,PENALTY,Tanner Jeannot Hi stick - double minor against David Krejci,2023-03-25T17:24:25Z,1,08:19,11:41,1,0,14.0,Tampa Bay Lightning,TBL
49,6,14,Boston Bruins,Tampa Bay Lightning,202202115136,2022021151,Stoppage,36,STOP,TV timeout,2023-03-25T17:24:25Z,1,08:19,11:41,1,0,,,
50,6,14,Boston Bruins,Tampa Bay Lightning,202202115161,2022021151,Faceoff,61,FACEOFF,Anthony Cirelli faceoff won against Brad Marchand,2023-03-25T17:27:09Z,1,08:19,11:41,1,0,14.0,Tampa Bay Lightning,TBL
51,6,14,Boston Bruins,Tampa Bay Lightning,202202115137,2022021151,Stoppage,37,STOP,Offside,2023-03-25T17:27:33Z,1,08:42,11:18,1,0,,,
52,6,14,Boston Bruins,Tampa Bay Lightning,202202115162,2022021151,Faceoff,62,FACEOFF,David Krejci faceoff won against Anthony Cirelli,2023-03-25T17:28:05Z,1,08:42,11:18,1,0,6.0,Boston Bruins,BOS
53,6,14,Boston Bruins,Tampa Bay Lightning,202202115163,2022021151,Giveaway,63,GIVEAWAY,Giveaway by Dmitry Orlov,2023-03-25T17:28:21Z,1,08:58,11:02,1,0,6.0,Boston Bruins,BOS
54,6,14,Boston Bruins,Tampa Bay Lightning,2022021151170,2022021151,Missed Shot,170,MISSED_SHOT,Brandon Hagel Over Net Linus Ullmark,2023-03-25T17:28:24Z,1,09:01,10:59,1,0,14.0,Tampa Bay Lightning,TBL
55,6,14,Boston Bruins,Tampa Bay Lightning,2022021151171,2022021151,Goal,171,GOAL,"Victor Hedman (8) Slap Shot, assists: Pierre-Edouard Bellemare (7), Alex Killorn (33)",2023-03-25T17:28:52Z,1,09:30,10:30,1,1,14.0,Tampa Bay Lightning,TBL
56,6,14,Boston Bruins,Tampa Bay Lightning,202202115164,2022021151,Faceoff,64,FACEOFF,Patrice Bergeron faceoff won against Anthony Cirelli,2023-03-25T17:29:27Z,1,09:30,10:30,1,1,6.0,Boston Bruins,BOS
57,6,14,Boston Bruins,Tampa Bay Lightning,202202115138,2022021151,Stoppage,38,STOP,Offside,2023-03-25T17:29:40Z,1,09:42,10:18,1,1,,,
58,6,14,Boston Bruins,Tampa Bay Lightning,202202115165,2022021151,Faceoff,65,FACEOFF,Anthony Cirelli faceoff won against Patrice Bergeron,2023-03-25T17:30:01Z,1,09:42,10:18,1,1,14.0,Tampa Bay Lightning,TBL
59,6,14,Boston Bruins,Tampa Bay Lightning,2022021151172,2022021151,Shot,172,SHOT,David Pastrnak Wrist Shot saved by Andrei Vasilevskiy,2023-03-25T17:30:28Z,1,10:09,09:51,1,1,6.0,Boston Bruins,BOS
60,6,14,Boston Bruins,Tampa Bay Lightning,202202115166,2022021151,Takeaway,66,TAKEAWAY,Takeaway by Jake DeBrusk,2023-03-25T17:30:53Z,1,10:34,09:26,1,1,6.0,Boston Bruins,BOS
61,6,14,Boston Bruins,Tampa Bay Lightning,2022021151173,2022021151,Shot,173,SHOT,Dmitry Orlov Slap Shot saved by Andrei Vasilevskiy,2023-03-25T17:31:21Z,1,11:02,08:58,1,1,6.0,Boston Bruins,BOS
62,6,14,Boston Bruins,Tampa Bay Lightning,202202115167,2022021151,Takeaway,67,TAKEAWAY,Takeaway by Dmitry Orlov,2023-03-25T17:31:28Z,1,11:09,08:51,1,1,6.0,Boston Bruins,BOS
63,6,14,Boston Bruins,Tampa Bay Lightning,2022021151174,2022021151,Missed Shot,174,MISSED_SHOT,Dmitry Orlov Wide of Net Andrei Vasilevskiy,2023-03-25T17:32:03Z,1,11:44,08:16,1,1,6.0,Boston Bruins,BOS
