,home_team_id,away_team_id,home_team,away_team,play_id,game_id,event,event_id,event_type_id,description,time_stamp,period,period_time,period_time_remaining,goals_home,goals_away,team_id,team_name,team_abrv
0,29,24,Columbus Blue Jackets,Anaheim Ducks,20220207171,2022020717,Game Scheduled,1,GAME_SCHEDULED,Game Scheduled,2023-01-19T23:13:41Z,1,00:00,20:00,0,0,,,
1,29,24,Columbus Blue Jackets,Anaheim Ducks,20220207175,2022020717,Period Ready,5,PERIOD_READY,Period Ready,2023-01-20T00:08:00Z,1,00:00,20:00,0,0,,,
2,29,24,Columbus Blue Jackets,Anaheim Ducks,202202071751,2022020717,Period Start,51,PERIOD_START,Period Start,2023-01-20T00:08:37Z,1,00:00,20:00,0,0,,,
3,29,24,Columbus Blue Jackets,Anaheim Ducks,202202071752,2022020717,Faceoff,52,FACEOFF,Isac Lundestrom faceoff won against Boone Jenner,2023-01-20T00:08:37Z,1,00:00,20:00,0,0,24.0,Anaheim Ducks,ANA
4,29,24,Columbus Blue Jackets,Anaheim Ducks,20220207178,2022020717,Stoppage,8,STOP,Icing,2023-01-20T00:08:43Z,1,00:06,19:54,0,0,,,
5,29,24,Columbus Blue Jackets,Anaheim Ducks,202202071753,2022020717,Faceoff,53,FACEOFF,Isac Lundestrom faceoff won against Boone Jenner,2023-01-20T00:09:11Z,1,00:06,19:54,0,0,24.0,Anaheim Ducks,ANA
6,29,24,Columbus Blue Jackets,Anaheim Ducks,20220207179,2022020717,Stoppage,9,STOP,Puck in Benches,2023-01-20T00:09:31Z,1,00:26,19:34,0,0,,,
7,29,24,Columbus Blue Jackets,Anaheim Ducks,202202071754,2022020717,Faceoff,54,FACEOFF,Cole Sillinger faceoff won against Ryan Strome,2023-01-20T00:09:55Z,1,00:26,19:34,0,0,29.0,Columbus Blue Jackets,CBJ
8,29,24,Columbus Blue Jackets,Anaheim Ducks,202202071710,2022020717,Hit,10,HIT,Tim Berni hit Trevor Zegras,2023-01-20T00:10:05Z,1,00:36,19:24,0,0,29.0,Columbus Blue Jackets,CBJ
9,29,24,Columbus Blue Jackets,Anaheim Ducks,2022020717151,2022020717,Missed Shot,151,MISSED_SHOT,Kevin Shattenkirk Wide of Net Elvis Merzlikins,2023-01-20T00:10:35Z,1,01:06,18:54,0,0,24.0,Anaheim Ducks,ANA
10,29,24,Columbus Blue Jackets,Anaheim Ducks,2022020717152,2022020717,Shot,152,SHOT,Max Comtois Tip-In saved by Elvis Merzlikins,2023-01-20T00:10:43Z,1,01:14,18:46,0,0,24.0,Anaheim Ducks,ANA
11,29,24,Columbus Blue Jackets,Anaheim Ducks,202202071711,2022020717,Stoppage,11,STOP,Goalie Stopped,2023-01-20T00:10:43Z,1,01:15,18:45,0,0,,,
12,29,24,Columbus Blue Jackets,Anaheim Ducks,202202071755,2022020717,Faceoff,55,FACEOFF,Jack Roslovic faceoff won against Jayson Megna,2023-01-20T00:11:20Z,1,01:15,18:45,0,0,29.0,Columbus Blue Jackets,CBJ
13,29,24,Columbus Blue Jackets,Anaheim Ducks,202202071756,2022020717,Giveaway,56,GIVEAWAY,Giveaway by Emil Bemstrom,2023-01-20T00:11:26Z,1,01:21,18:39,0,0,29.0,Columbus Blue Jackets,CBJ
14,29,24,Columbus Blue Jackets,Anaheim Ducks,2022020717153,2022020717,Shot,153,SHOT,Jakob Silfverberg Wrist Shot saved by Elvis Merzlikins,2023-01-20T00:11:27Z,1,01:22,18:38,0,0,24.0,Anaheim Ducks,ANA
15,29,24,Columbus Blue Jackets,Anaheim Ducks,2022020717154,2022020717,Missed Shot,154,MISSED_SHOT,Jakob Silfverberg Wide of Net Elvis Merzlikins,2023-01-20T00:11:38Z,1,01:33,18:27,0,0,24.0,Anaheim Ducks,ANA
16,29,24,Columbus Blue Jackets,Anaheim Ducks,202202071712,2022020717,Hit,12,HIT,Kent Johnson hit Jakob Silfverberg,2023-01-20T00:11:45Z,1,01:40,18:20,0,0,29.0,Columbus Blue Jackets,CBJ
