,home_team_id,away_team_id,home_team,away_team,play_id,game_id,event,event_id,event_type_id,description,time_stamp,period,period_time,period_time_remaining,goals_home,goals_away,team_id,team_name,team_abrv
0,17,15,Detroit Red Wings,Washington Capitals,20220201641,2022020164,Game Scheduled,1,GAME_SCHEDULED,Game Scheduled,2022-11-03T22:14:56Z,1,00:00,20:00,0,0,,,
1,17,15,Detroit Red Wings,Washington Capitals,20220201645,2022020164,Period Ready,5,PERIOD_READY,Period Ready,2022-11-03T23:09:53Z,1,00:00,20:00,0,0,,,
2,17,15,Detroit Red Wings,Washington Capitals,2022020164101,2022020164,Period Start,101,PERIOD_START,Period Start,2022-11-03T23:10:39Z,1,00:00,20:00,0,0,,,
3,17,15,Detroit Red Wings,Washington Capitals,2022020164102,2022020164,Faceoff,102,FACEOFF,Evgeny Kuznetsov faceoff won against Dylan Larkin,2022-11-03T23:10:39Z,1,00:00,20:00,0,0,15.0,Washington Capitals,WSH
4,17,15,Detroit Red Wings,Washington Capitals,2022020164151,2022020164,Shot,151,SHOT,Lucas Raymond Tip-In saved by Darcy Kuemper,2022-11-03T23:11:02Z,1,00:23,19:37,0,0,17.0,Detroit Red Wings,DET
5,17,15,Detroit Red Wings,Washington Capitals,20220201648,2022020164,Stoppage,8,STOP,Goalie Stopped,2022-11-03T23:11:02Z,1,00:24,19:36,0,0,,,
6,17,15,Detroit Red Wings,Washington Capitals,2022020164104,2022020164,Faceoff,104,FACEOFF,Nic Dowd faceoff won against Dylan Larkin,2022-11-03T23:11:32Z,1,00:24,19:36,0,0,15.0,Washington Capitals,WSH
7,17,15,Detroit Red Wings,Washington Capitals,2022020164152,2022020164,Shot,152,SHOT,Martin Fehervary Snap Shot saved by Ville Husso,2022-11-03T23:11:55Z,1,00:47,19:13,0,0,15.0,Washington Capitals,WSH
8,17,15,Detroit Red Wings,Washington Capitals,202202016414,2022020164,Blocked Shot,14,BLOCKED_SHOT,Nick Jensen shot blocked shot by Robert Hagg,2022-11-03T23:11:58Z,1,00:50,19:10,0,0,17.0,Detroit Red Wings,DET
9,17,15,Detroit Red Wings,Washington Capitals,2022020164153,2022020164,Missed Shot,153,MISSED_SHOT,Garnet Hathaway Goalpost Ville Husso,2022-11-03T23:12:00Z,1,00:52,19:08,0,0,15.0,Washington Capitals,WSH
10,17,15,Detroit Red Wings,Washington Capitals,202202016416,2022020164,Blocked Shot,16,BLOCKED_SHOT,Nic Dowd shot blocked shot by Andrew Copp,2022-11-03T23:12:03Z,1,00:55,19:05,0,0,17.0,Detroit Red Wings,DET
11,17,15,Detroit Red Wings,Washington Capitals,2022020164154,2022020164,Blocked Shot,154,BLOCKED_SHOT,Anthony Mantha shot blocked shot by Olli Maatta,2022-11-03T23:12:36Z,1,01:28,18:32,0,0,17.0,Detroit Red Wings,DET
12,17,15,Detroit Red Wings,Washington Capitals,20220201649,2022020164,Hit,9,HIT,Olli Maatta hit Marcus Johansson,2022-11-03T23:12:58Z,1,01:50,18:10,0,0,17.0,Detroit Red Wings,DET
13,17,15,Detroit Red Wings,Washington Capitals,2022020164109,2022020164,Takeaway,109,TAKEAWAY,Takeaway by Dmitry Orlov,2022-11-03T23:13:33Z,1,02:25,17:35,0,0,15.0,Washington Capitals,WSH
14,17,15,Detroit Red Wings,Washington Capitals,202202016410,2022020164,Stoppage,10,STOP,Icing,2022-11-03T23:13:41Z,1,02:32,17:28,0,0,,,
15,17,15,Detroit Red Wings,Washington Capitals,2022020164111,2022020164,Faceoff,111,FACEOFF,Lars Eller faceoff won against Joe Veleno,2022-11-03T23:14:07Z,1,02:32,17:28,0,0,15.0,Washington Capitals,WSH
16,17,15,Detroit Red Wings,Washington Capitals,2022020164155,2022020164,Shot,155,SHOT,Joe Veleno Slap Shot saved by Darcy Kuemper,2022-11-03T23:14:26Z,1,02:51,17:09,0,0,17.0,Detroit Red Wings,DET
17,17,15,Detroit Red Wings,Washington Capitals,202202016411,2022020164,Stoppage,11,STOP,Offside,2022-11-03T23:14:36Z,1,03:01,16:59,0,0,,,
18,17,15,Detroit Red Wings,Washington Capitals,2022020164113,2022020164,Faceoff,113,FACEOFF,Dylan Larkin faceoff won against Evgeny Kuznetsov,2022-11-03T23:15:01Z,1,03:01,16:59,0,0,17.0,Detroit Red Wings,DET
19,17,15,Detroit Red Wings,Washington Capitals,202202016412,2022020164,Hit,12,HIT,Dylan Larkin hit Martin Fehervary,2022-11-03T23:15:12Z,1,03:12,16:48,0,0,17.0,Detroit Red Wings,DET
20,17,15,Detroit Red Wings,Washington Capitals,202202016413,2022020164,Stoppage,13,STOP,Offside,2022-11-03T23:15:22Z,1,03:23,16:37,0,0,,,
21,17,15,Detroit Red Wings,Washington Capitals,2022020164115,2022020164,Faceoff,115,FACEOFF,Andrew Copp faceoff won against Dylan Strome,2022-11-03T23:15:49Z,1,03:23,16:37,0,0,17.0,Detroit Red Wings,DET
22,17,15,Detroit Red Wings,Washington Capitals,2022020164117,2022020164,Giveaway,117,GIVEAWAY,Giveaway by Nick Jensen,2022-11-03T23:15:58Z,1,03:32,16:28,0,0,15.0,Washington Capitals,WSH
23,17,15,Detroit Red Wings,Washington Capitals,2022020164156,2022020164,Shot,156,SHOT,Robert Hagg Snap Shot saved by Darcy Kuemper,2022-11-03T23:16:35Z,1,04:09,15:51,0,0,17.0,Detroit Red Wings,DET
24,17,15,Detroit Red Wings,Washington Capitals,2022020164253,2022020164,Hit,253,HIT,Martin Fehervary hit Filip Zadina,2022-11-03T23:16:43Z,1,04:17,15:43,0,0,15.0,Washington Capitals,WSH
25,17,15,Detroit Red Wings,Washington Capitals,2022020164157,2022020164,Missed Shot,157,MISSED_SHOT,Robert Hagg Wide of Net Darcy Kuemper,2022-11-03T23:16:44Z,1,04:18,15:42,0,0,17.0,Detroit Red Wings,DET
26,17,15,Detroit Red Wings,Washington Capitals,2022020164119,2022020164,Giveaway,119,GIVEAWAY,Giveaway by Filip Zadina,2022-11-03T23:16:56Z,1,04:30,15:30,0,0,17.0,Detroit Red Wings,DET
27,17,15,Detroit Red Wings,Washington Capitals,2022020164254,2022020164,Hit,254,HIT,Joe Snively hit Matt Luff,2022-11-03T23:17:17Z,1,04:51,15:09,0,0,15.0,Washington Capitals,WSH
28,17,15,Detroit Red Wings,Washington Capitals,2022020164158,2022020164,Shot,158,SHOT,Matt Luff Wrist Shot saved by Darcy Kuemper,2022-11-03T23:17:55Z,1,05:29,14:31,0,0,17.0,Detroit Red Wings,DET
