,home_team_id,away_team_id,home_team,away_team,play_id,game_id,event,event_id,event_type_id,description,time_stamp,period,period_time,period_time_remaining,goals_home,goals_away,team_id,team_name,team_abrv
0,23,55,Vancouver Canucks,Seattle Kraken,20220205301,2022020530,Game Scheduled,1,GAME_SCHEDULED,Game Scheduled,2022-12-23T02:13:18Z,1,00:00,20:00,0,0,,,
1,23,55,Vancouver Canucks,Seattle Kraken,20220205305,2022020530,Period Ready,5,PERIOD_READY,Period Ready,2022-12-23T03:06:03Z,1,00:00,20:00,0,0,,,
2,23,55,Vancouver Canucks,Seattle Kraken,202202053051,2022020530,Period Start,51,PERIOD_START,Period Start,2022-12-23T03:08:16Z,1,00:00,20:00,0,0,,,
3,23,55,Vancouver Canucks,Seattle Kraken,202202053052,2022020530,Faceoff,52,FACEOFF,Bo Horvat faceoff won against Matty Beniers,2022-12-23T03:08:16Z,1,00:00,20:00,0,0,23.0,Vancouver Canucks,VAN
4,23,55,Vancouver Canucks,Seattle Kraken,20220205308,2022020530,Hit,8,HIT,Bo Horvat hit Jordan Eberle,2022-12-23T03:08:35Z,1,00:19,19:41,0,0,23.0,Vancouver Canucks,VAN
5,23,55,Vancouver Canucks,Seattle Kraken,20220205309,2022020530,Hit,9,HIT,Matty Beniers hit Luke Schenn,2022-12-23T03:08:44Z,1,00:28,19:32,0,0,55.0,Seattle Kraken,SEA
6,23,55,Vancouver Canucks,Seattle Kraken,2022020530151,2022020530,Shot,151,SHOT,Andre Burakovsky Wrist Shot saved by Spencer Martin,2022-12-23T03:09:35Z,1,01:19,18:41,0,0,55.0,Seattle Kraken,SEA
7,23,55,Vancouver Canucks,Seattle Kraken,202202053010,2022020530,Stoppage,10,STOP,Icing,2022-12-23T03:09:46Z,1,01:30,18:30,0,0,,,
8,23,55,Vancouver Canucks,Seattle Kraken,202202053053,2022020530,Faceoff,53,FACEOFF,Alex Wennberg faceoff won against J.T. Miller,2022-12-23T03:10:08Z,1,01:30,18:30,0,0,55.0,Seattle Kraken,SEA
9,23,55,Vancouver Canucks,Seattle Kraken,202202053011,2022020530,Stoppage,11,STOP,Puck in Netting,2022-12-23T03:10:15Z,1,01:37,18:23,0,0,,,
10,23,55,Vancouver Canucks,Seattle Kraken,2022020530152,2022020530,Blocked Shot,152,BLOCKED_SHOT,Jaden Schwartz shot blocked shot by Oliver Ekman-Larsson,2022-12-23T03:10:15Z,1,01:37,18:23,0,0,23.0,Vancouver Canucks,VAN
11,23,55,Vancouver Canucks,Seattle Kraken,202202053054,2022020530,Faceoff,54,FACEOFF,Alex Wennberg faceoff won against Elias Pettersson,2022-12-23T03:10:35Z,1,01:37,18:23,0,0,55.0,Seattle Kraken,SEA
12,23,55,Vancouver Canucks,Seattle Kraken,2022020530153,2022020530,Shot,153,SHOT,Oliver Bjorkstrand Wrist Shot saved by Spencer Martin,2022-12-23T03:10:38Z,1,01:40,18:20,0,0,55.0,Seattle Kraken,SEA
13,23,55,Vancouver Canucks,Seattle Kraken,202202053055,2022020530,Giveaway,55,GIVEAWAY,Giveaway by Lane Pederson,2022-12-23T03:11:18Z,1,02:20,17:40,0,0,23.0,Vancouver Canucks,VAN
14,23,55,Vancouver Canucks,Seattle Kraken,202202053012,2022020530,Hit,12,HIT,Nils Aman hit Morgan Geekie,2022-12-23T03:11:44Z,1,02:46,17:14,0,0,23.0,Vancouver Canucks,VAN
15,23,55,Vancouver Canucks,Seattle Kraken,202202053056,2022020530,Giveaway,56,GIVEAWAY,Giveaway by Luke Schenn,2022-12-23T03:11:50Z,1,02:52,17:08,0,0,23.0,Vancouver Canucks,VAN
