,home_team_id,away_team_id,home_team,away_team,play_id,game_id,event,event_id,event_type_id,description,time_stamp,period,period_time,period_time_remaining,goals_home,goals_away,team_id,team_name,team_abrv
0,6,25,Boston Bruins,Dallas Stars,20220201001,2022020100,Game Scheduled,1,GAME_SCHEDULED,Game Scheduled,2022-10-25T22:03:04Z,1,00:00,20:00,0,0,,,
1,6,25,Boston Bruins,Dallas Stars,20220201005,2022020100,Period Ready,5,PERIOD_READY,Period Ready,2022-10-25T23:06:46Z,1,00:00,20:00,0,0,,,
2,6,25,Boston Bruins,Dallas Stars,202202010051,2022020100,Period Start,51,PERIOD_START,Period Start,2022-10-25T23:11:13Z,1,00:00,20:00,0,0,,,
3,6,25,Boston Bruins,Dallas Stars,202202010052,2022020100,Faceoff,52,FACEOFF,Charlie Coyle faceoff won against Tyler Seguin,2022-10-25T23:11:13Z,1,00:00,20:00,0,0,6.0,Boston Bruins,BOS
4,6,25,Boston Bruins,Dallas Stars,20220201008,2022020100,Hit,8,HIT,Ryan Suter hit Craig Smith,2022-10-25T23:11:34Z,1,00:21,19:39,0,0,25.0,Dallas Stars,DAL
5,6,25,Boston Bruins,Dallas Stars,2022020100101,2022020100,Missed Shot,101,MISSED_SHOT,Charlie Coyle Wide of Net Jake Oettinger,2022-10-25T23:11:43Z,1,00:30,19:30,0,0,6.0,Boston Bruins,BOS
6,6,25,Boston Bruins,Dallas Stars,20220201009,2022020100,Hit,9,HIT,Nils Lundkvist hit Craig Smith,2022-10-25T23:11:56Z,1,00:43,19:17,0,0,25.0,Dallas Stars,DAL
7,6,25,Boston Bruins,Dallas Stars,2022020100102,2022020100,Shot,102,SHOT,Joe Pavelski Tip-In saved by Linus Ullmark,2022-10-25T23:12:08Z,1,00:55,19:05,0,0,25.0,Dallas Stars,DAL
8,6,25,Boston Bruins,Dallas Stars,2022020100160,2022020100,Penalty,160,PENALTY,Esa Lindell Interference against Jake DeBrusk,2022-10-25T23:12:26Z,1,01:13,18:47,0,0,25.0,Dallas Stars,DAL
9,6,25,Boston Bruins,Dallas Stars,202202010053,2022020100,Faceoff,53,FACEOFF,Patrice Bergeron faceoff won against Radek Faksa,2022-10-25T23:13:08Z,1,01:13,18:47,0,0,6.0,Boston Bruins,BOS
10,6,25,Boston Bruins,Dallas Stars,2022020100103,2022020100,Missed Shot,103,MISSED_SHOT,Jake DeBrusk Wide of Net Jake Oettinger,2022-10-25T23:13:34Z,1,01:39,18:21,0,0,6.0,Boston Bruins,BOS
11,6,25,Boston Bruins,Dallas Stars,2022020100104,2022020100,Shot,104,SHOT,Patrice Bergeron Snap Shot saved by Jake Oettinger,2022-10-25T23:13:47Z,1,01:52,18:08,0,0,6.0,Boston Bruins,BOS
12,6,25,Boston Bruins,Dallas Stars,202202010010,2022020100,Hit,10,HIT,David Pastrnak hit Jani Hakanpää,2022-10-25T23:14:05Z,1,02:10,17:50,0,0,6.0,Boston Bruins,BOS
13,6,25,Boston Bruins,Dallas Stars,2022020100105,2022020100,Takeaway,105,TAKEAWAY,Takeaway by Ty Dellandrea,2022-10-25T23:14:23Z,1,02:28,17:32,0,0,25.0,Dallas Stars,DAL
14,6,25,Boston Bruins,Dallas Stars,2022020100169,2022020100,Penalty,169,PENALTY,Taylor Hall Tripping against Ty Dellandrea,2022-10-25T23:14:25Z,1,02:30,17:30,0,0,6.0,Boston Bruins,BOS
15,6,25,Boston Bruins,Dallas Stars,202202010054,2022020100,Faceoff,54,FACEOFF,Charlie Coyle faceoff won against Tyler Seguin,2022-10-25T23:15:08Z,1,02:30,17:30,0,0,6.0,Boston Bruins,BOS
