,game_id,away_team_id,home_team_id,away_team_name,home_team_name,away_score,home_score
1006,2022021009,9,16,Ottawa Senators,Chicago Blackhawks,0,5
1007,2022021010,18,23,Nashville Predators,Vancouver Canucks,3,4
1008,2022021011,15,26,Washington Capitals,Los Angeles Kings,2,4
1009,2022021012,12,8,Carolina Hurricanes,Montréal Canadiens,4,3
1010,2022021013,29,5,Columbus Blue Jackets,Pittsburgh Penguins,4,5
1011,2022021014,4,14,Philadelphia Flyers,Tampa Bay Lightning,2,5
1012,2022021015,10,1,Toronto Maple Leafs,New Jersey Devils,4,3
1013,2022021016,54,13,Vegas Golden Knights,Florida Panthers,1,2
1014,2022021017,7,2,Buffalo Sabres,New York Islanders,2,3
1015,2022021018,20,30,Calgary Flames,Minnesota Wild,1,0
1016,2022021019,28,21,San Jose Sharks,Colorado Avalanche,0,6
1017,2022021020,19,53,St. Louis Blues,Arizona Coyotes,2,6
1018,2022021021,24,55,Anaheim Ducks,Seattle Kraken,2,5
1019,2022021022,16,17,Chicago Blackhawks,Detroit Red Wings,3,4
1020,2022021023,30,52,Minnesota Wild,Winnipeg Jets,4,2
1021,2022021024,24,23,Anaheim Ducks,Vancouver Canucks,2,3
1022,2022021025,25,7,Dallas Stars,Buffalo Sabres,10,4
1023,2022021027,2,5,New York Islanders,Pittsburgh Penguins,4,3
1024,2022021028,3,8,New York Rangers,Montréal Canadiens,4,3
1025,2022021029,1,15,New Jersey Devils,Washington Capitals,3,2
1026,2022021030,4,12,Philadelphia Flyers,Carolina Hurricanes,0,1
1027,2022021031,54,14,Vegas Golden Knights,Tampa Bay Lightning,4,3
1028,2022021026,22,6,Edmonton Oilers,Boston Bruins,3,2
1029,2022021032,28,19,San Jose Sharks,St. Louis Blues,2,4
1030,2022021033,26,21,Los Angeles Kings,Colorado Avalanche,5,2
1031,2022021034,18,53,Nashville Predators,Arizona Coyotes,1,4
1032,2022021035,9,55,Ottawa Senators,Seattle Kraken,5,4
1033,2022021036,16,13,Chicago Blackhawks,Florida Panthers,3,4
1034,2022021037,24,20,Anaheim Ducks,Calgary Flames,3,1
1035,2022021038,17,6,Detroit Red Wings,Boston Bruins,2,3
1036,2022021039,4,5,Philadelphia Flyers,Pittsburgh Penguins,1,5
1037,2022021040,3,7,New York Rangers,Buffalo Sabres,2,1
1038,2022021041,53,21,Arizona Coyotes,Colorado Avalanche,2,3
1039,2022021042,16,14,Chicago Blackhawks,Tampa Bay Lightning,1,3
1040,2022021043,22,10,Edmonton Oilers,Toronto Maple Leafs,4,7
1041,2022021044,1,8,New Jersey Devils,Montréal Canadiens,3,1
1042,2022021045,19,29,St. Louis Blues,Columbus Blue Jackets,5,2
1043,2022021046,54,12,Vegas Golden Knights,Carolina Hurricanes,4,0
1044,2022021047,52,13,Winnipeg Jets,Florida Panthers,5,4
1045,2022021048,15,2,Washington Capitals,New York Islanders,5,1
1046,2022021049,25,55,Dallas Stars,Seattle Kraken,4,3
1047,2022021050,9,23,Ottawa Senators,Vancouver Canucks,2,5
1048,2022021051,30,28,Minnesota Wild,San Jose Sharks,5,2
1049,2022021052,18,26,Nashville Predators,Los Angeles Kings,2,1
1050,2022021053,6,17,Boston Bruins,Detroit Red Wings,3,5
1051,2022021054,3,5,New York Rangers,Pittsburgh Penguins,2,3
1052,2022021055,12,1,Carolina Hurricanes,New Jersey Devils,0,3
1053,2022021056,54,19,Vegas Golden Knights,St. Louis Blues,5,3
1054,2022021057,52,14,Winnipeg Jets,Tampa Bay Lightning,3,2
1055,2022021059,9,20,Ottawa Senators,Calgary Flames,1,5
1056,2022021058,30,53,Minnesota Wild,Arizona Coyotes,4,5
1057,2022021060,18,24,Nashville Predators,Anaheim Ducks,5,4
1058,2022021061,7,10,Buffalo Sabres,Toronto Maple Leafs,4,3
1059,2022021062,21,8,Colorado Avalanche,Montréal Canadiens,8,4
1060,2022021063,25,55,Dallas Stars,Seattle Kraken,5,2
1061,2022021064,8,5,Montréal Canadiens,Pittsburgh Penguins,6,4
1062,2022021065,14,1,Tampa Bay Lightning,New Jersey Devils,4,1
1063,2022021066,54,4,Vegas Golden Knights,Philadelphia Flyers,5,3
1064,2022021067,15,3,Washington Capitals,New York Rangers,3,5
1065,2022021068,52,12,Winnipeg Jets,Carolina Hurricanes,3,5
1066,2022021069,17,18,Detroit Red Wings,Nashville Predators,1,2
1067,2022021070,6,16,Boston Bruins,Chicago Blackhawks,3,6
1068,2022021071,9,22,Ottawa Senators,Edmonton Oilers,3,6
1069,2022021072,20,53,Calgary Flames,Arizona Coyotes,3,4
1070,2022021073,25,23,Dallas Stars,Vancouver Canucks,2,5
1071,2022021074,29,28,Columbus Blue Jackets,San Jose Sharks,6,5
1072,2022021075,2,26,New York Islanders,Los Angeles Kings,2,5
1073,2022021076,7,15,Buffalo Sabres,Washington Capitals,4,5
1074,2022021077,21,10,Colorado Avalanche,Toronto Maple Leafs,2,1
1075,2022021078,30,19,Minnesota Wild,St. Louis Blues,8,5
1076,2022021079,2,24,New York Islanders,Anaheim Ducks,6,3
1077,2022021080,21,9,Colorado Avalanche,Ottawa Senators,5,4
1078,2022021081,8,13,Montréal Canadiens,Florida Panthers,5,9
1079,2022021082,5,3,Pittsburgh Penguins,New York Rangers,2,4
1080,2022021083,14,1,Tampa Bay Lightning,New Jersey Devils,4,3
1081,2022021084,6,52,Boston Bruins,Winnipeg Jets,3,0
1082,2022021085,16,18,Chicago Blackhawks,Nashville Predators,2,1
1083,2022021086,25,22,Dallas Stars,Edmonton Oilers,1,4
1084,2022021087,20,54,Calgary Flames,Vegas Golden Knights,7,2
1085,2022021088,23,53,Vancouver Canucks,Arizona Coyotes,2,3
1086,2022021089,29,26,Columbus Blue Jackets,Los Angeles Kings,1,4
1087,2022021090,55,28,Seattle Kraken,San Jose Sharks,2,1
1088,2022021091,7,4,Buffalo Sabres,Philadelphia Flyers,2,5
